"STATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","2018-01-01","0.00","0.0","0.0",,"19","7",,,,,,
"USW00094728","2018-01-02","0.00","0.0","0.0",,"26","13",,,,,,
"USW00094728","2018-01-03","0.00","0.0","0.0",,"30","16",,,,,,
"USW00094728","2018-01-04","0.76","9.8","1.2",,"29","19","    1","    1",,,,"    1"
"USW00094728","2018-01-05","0.00","0.0","7.1",,"19","9",,,,,,
"USW00094728","2018-01-06","0.00","0.0","5.9",,"13","6",,,,,,
"USW00094728","2018-01-07","0.00","0.0","5.9",,"18","5",,,,,,
"USW00094728","2018-01-08","0.01","0.0","5.1",,"31","17",,,,,,"    1"
"USW00094728","2018-01-09","0.00","0.0","5.1",,"44","30",,,,,,
"USW00094728","2018-01-10","0.00","0.0","3.9",,"43","30",,,,,,
"USW00094728","2018-01-11","0.00","0.0","3.1",,"53","41","    1",,,,,"    1"
"USW00094728","2018-01-12","0.54","0.0","0.0",,"61","44","    1",,,,,
"USW00094728","2018-01-13","0.05","0.0","0.0",,"58","19","    1",,,,,
"USW00094728","2018-01-14","0.00","0.0","0.0",,"25","15",,,,,,
"USW00094728","2018-01-15","0.00","0.0","0.0",,"30","16",,,,,,
"USW00094728","2018-01-16","0.00","0.0","0.0",,"36","25",,,,,,
"USW00094728","2018-01-17","0.19","0.4","0.0",,"36","22","    1",,,,,"    1"
"USW00094728","2018-01-18","0.00","0.0","0.0",,"32","18",,,,,,
"USW00094728","2018-01-19","0.00","0.0","0.0",,"41","24",,,,,,
"USW00094728","2018-01-20","0.00","0.0","0.0",,"52","38",,,,,,
"USW00094728","2018-01-21","0.00","0.0","0.0",,"50","42",,,,,,
"USW00094728","2018-01-22","0.01","0.0","0.0",,"49","38","    1",,,,,"    1"
"USW00094728","2018-01-23","0.30","0.0","0.0",,"60","38","    1",,,,,
"USW00094728","2018-01-24","0.00","0.0","0.0",,"44","27",,,,,,
"USW00094728","2018-01-25","0.00","0.0","0.0",,"34","23",,,,,,
"USW00094728","2018-01-26","0.00","0.0","0.0",,"38","26",,,,,,
"USW00094728","2018-01-27","0.00","0.0","0.0",,"56","35",,,,,,
"USW00094728","2018-01-28","0.21","0.0","0.0",,"55","46","    1",,,,,
"USW00094728","2018-01-29","0.00","0.1","0.0",,"47","35",,,,,,"    1"
"USW00094728","2018-01-30","0.11","0.9","0.0",,"36","24","    1",,,,,"    1"
"USW00094728","2018-01-31","0.00","0.0","0.0",,"33","18",,,,,,"    1"
"USW00094728","2018-02-01","0.05","0.0","0.0",,"45","32",,,,,,
"USW00094728","2018-02-02","0.18","0.0","0.0",,"41","17","    1",,,,,
"USW00094728","2018-02-03","0.00","0.0","0.0",,"31","16",,,,,,
"USW00094728","2018-02-04","0.96","0.0","0.0",,"46","30","    1",,,,,"    1"
"USW00094728","2018-02-05","0.00","0.0","0.0",,"40","26","    1",,,,,
"USW00094728","2018-02-06","0.00","0.0","0.0",,"37","26",,,,,,
"USW00094728","2018-02-07","0.85","0.5","0.0",,"45","30","    1","    1",,,"    1","    1"
"USW00094728","2018-02-08","0.00","0.0","0.0",,"33","25",,,,,,
"USW00094728","2018-02-09","0.00","0.0","0.0",,"39","26",,,,,,
"USW00094728","2018-02-10","0.58","0.0","0.0",,"50","39","    1",,,,,
"USW00094728","2018-02-11","1.21","0.0","0.0",,"62","45","    1",,,,,
"USW00094728","2018-02-12","0.00","0.0","0.0",,"62","32",,,,,,
"USW00094728","2018-02-13","0.00","0.0","0.0",,"38","26",,,,,,
"USW00094728","2018-02-14","0.08","0.0","0.0",,"53","35",,,,,,
"USW00094728","2018-02-15","0.16","0.0","0.0",,"62","46","    1",,,,,"    1"
"USW00094728","2018-02-16","0.09","0.0","0.0",,"58","36","    1",,,,,
"USW00094728","2018-02-17","0.52","4.4","0.0",,"40","28","    1",,,,,"    1"
